,Fecha,Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Dólar Americano (US$),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Euro (E),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Yen  (¥),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Real Brasileño (R),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Libra Esterlina (£),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Chileno ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Yuan Chino,Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Colombiano ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Mexicano ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Franco Suizo ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Dólar Canadiense (Can$)
32,Sep.1994,2.25431818181818,2.77686913636364,0.0228153714814932,2.60614818707304,3.52454228586148,0.00543379415676762,0.263962411369411,0.00271583910760411,0.66307376369733,1.74524706533161,1.66527187094255
33,Oct.1994,2.23214285714286,2.803125,0.0226794209633936,2.63846673421142,3.58434321811616,0.00541506236419024,0.261702936600056,0.00265876356556261,0.653475864261039,1.76501419918623,1.65342078209713
34,Nov.1994,2.1902380952381,2.71020061904762,0.022359293107023,2.60123289220676,3.48091429901585,0.00529746788060974,0.257163767948208,0.0026387615342464,0.63621625958232,1.69088572340278,1.60467079236023
35,Dic.1994,2.13452380952381,2.58832357142857,0.0213189092423238,2.51120448179272,3.32930074612129,0.00530672453452952,0.251561064783094,0.00257375077387863,0.543025289896156,1.60583481378227,1.53737616104911
36,Ene.1995,2.18454545454545,2.70424881818182,0.0219012457789518,2.57915638080927,3.44016388877775,0.0053835710349092,0.258792538417715,0.00258015277062007,0.396231921815511,1.69614150746959,1.54614821587583
37,Feb.1995,2.20825,2.7638457,0.0224774284172918,2.62574316290131,3.47056294676278,0.0053580094142767,0.261783673566162,0.00259619998150182,0.388407148133817,1.7374114870181,1.57674141298023
38,Mar.1995,2.25086956521739,2.93108234782609,0.0247924141744759,2.53191177189808,3.6018715346758,0.00548377324274568,0.267083103756395,0.00259898802775939,0.335855438788611,1.92158650220034,1.59935000043371
39,Abr.1995,2.25555555555555,2.99447555555555,0.0269585628297195,2.48409202153695,3.62798275898238,0.00571996945592665,0.267801193892022,0.00258463799779833,0.358047424527836,1.98365584841351,1.63938119768718
40,May.1995,2.24863636363636,2.93986718181818,0.0264243936669953,2.50684098510186,3.57014668886215,0.00596186431486164,0.270333777787493,0.00256416265545568,0.377117138819052,1.92617534853767,1.65238849801326
41,Jun.1995,2.24166666666667,2.95541333333333,0.0265193288247714,2.4525893508388,3.57496509093103,0.00600033905261561,0.270051038642396,0.00256260618382593,0.360211252517462,1.93562499820109,1.62769333478216
42,Jul.1995,2.22925,2.973596575,0.0255585123976986,2.39962325080732,3.55491991268157,0.00589639484751501,0.268561687568518,0.00249574290689826,0.363105515196925,1.92796665138765,1.63811252401965
43,Ago.1995,2.23840909090909,2.89806825,0.0236748884417334,2.37623045744065,3.51239617224607,0.00577997028148086,0.26944436845129,0.00239421218551836,0.361564407583565,1.86842380837473,1.65205110301536
44,Sep.1995,2.24585714285714,2.87087918571429,0.0223496170454747,2.35661819817119,3.49710643972097,0.00569205480245626,0.269983427644064,0.0023293120131829,0.356343854479515,1.88733834990852,1.66269263982731
45,Oct.1995,2.25579545454546,2.92915039772727,0.0224112126483966,2.34978693181818,3.56133555522112,0.0055476746213798,0.271275985153684,0.00228800203470657,0.337133723086706,1.96820180656952,1.67655402076744
46,Nov.1995,2.31090476190476,2.9942393,0.0226742662954066,2.39720410985971,3.61345474255343,0.0056047749555062,0.277970140362634,0.00230965200665635,0.30174772301065,2.02254983231203,1.70776339325388
